No.,Time,Source,Destination,Protocol,Length,Info,Class
1,0.1,187.244.47.201,205.36.8.41,AS,100,knowledge user,Normal
2,0.2,204.119.191.40,241.3.120.179,AF,120,uniform,Normal
3,0.3,105.248.203.255,191.179.218.194,AS,140,collaboration,Normal
4,0.4,30.44.45.96,126.242.8.13,AS,160,data-warehouse,Normal
5,0.5,112.103.161.153,53.253.121.217,SA,180,optimizing,Normal
6,0.6,23.224.69.150,131.241.181.103,NA,200,maximized,Normal
7,0.7,132.80.170.17,85.6.52.103,NA,220,intangible,Normal
8,0.8,100.82.52.60,167.166.181.80,OC,240,client-driven,Normal
9,0.9,176.229.201.217,87.188.82.149,SA,260,Devolved,Normal
10,1,9.67.162.104,133.14.209.6,NA,280,Re-contextualized,Normal
11,1.1,108.113.35.237,126.56.91.29,AS,300,circuit,Normal
12,1.2,21.160.154.198,163.150.52.112,NA,320,Multi-tiered,Normal
13,1.3,201.185.43.211,75.122.12.229,AF,340,extranet,Normal
14,1.4,70.37.126.190,211.233.145.25,AS,360,frame,Normal
15,1.5,250.34.64.42,117.125.253.99,OC,380,matrix,Normal
16,1.6,18.21.152.16,199.210.138.252,AF,400,instruction set,Normal
17,1.7,204.58.112.232,96.175.119.91,SA,420,archive,Normal
18,1.8,194.160.122.40,133.172.138.98,AS,440,intranet,Normal
19,1.9,162.150.59.165,4.30.202.148,NA,460,Function-based,Normal
20,2,232.224.129.94,60.243.196.60,AS,480,Realigned,Normal
21,2.1,252.100.34.203,116.153.78.103,EU,500,Distributed,Normal
22,2.2,96.91.210.166,136.131.145.37,AF,520,initiative,Normal
23,2.3,211.163.28.11,158.123.227.26,OC,540,Progressive,Normal
24,2.4,87.21.24.254,145.33.103.48,AS,560,utilisation,Normal
25,2.5,101.146.150.20,179.250.195.228,EU,580,didactic,Normal
26,2.6,204.115.233.7,99.237.126.90,AF,600,user-facing,Normal
27,2.7,78.209.178.135,153.165.222.6,NA,620,Ameliorated,Normal
28,2.8,140.9.148.143,91.58.229.25,OC,640,protocol,Normal
29,2.9,143.58.113.84,49.31.52.172,OC,660,Implemented,Normal
30,3,51.48.28.216,23.219.200.183,AF,680,Digitized,Normal
31,3.1,184.223.2.161,185.119.90.64,OC,700,solution,Normal
32,3.2,204.214.196.58,101.118.93.80,OC,720,system engine,Normal
33,3.3,110.123.213.70,204.231.184.169,SA,740,Secured,Normal
34,3.4,120.226.175.245,162.244.196.96,SA,760,Versatile,Normal
35,3.5,110.135.18.59,183.88.102.202,SA,780,extranet,Normal
36,3.6,40.60.226.167,148.51.197.190,SA,800,content-based,Normal
37,3.7,173.132.189.16,90.77.65.109,AF,820,Expanded,Normal
38,3.8,106.67.187.191,115.180.38.231,OC,840,national,Normal
39,3.9,119.108.97.164,71.99.42.99,AS,860,Graphic Interface,Normal
40,4,231.51.55.52,62.154.93.158,AS,880,executive,Normal
41,4.1,228.223.63.32,114.135.67.15,AS,900,Progressive,Normal
42,4.2,51.223.180.107,59.99.139.79,SA,920,matrix,Normal
43,4.3,232.87.73.153,177.17.158.126,EU,940,hierarchy,Normal
44,4.4,32.106.53.135,117.95.19.230,AF,960,Synergistic,Normal
45,4.5,221.80.115.235,134.4.84.13,EU,980,scalable,Normal
46,4.6,4.16.199.13,158.127.36.159,AF,1000,interactive,Normal
47,4.7,130.201.184.78,108.129.34.169,NA,1020,explicit,Normal
48,4.8,12.152.60.231,17.160.20.194,AF,1040,Face to face,Normal
49,4.9,146.180.119.177,160.188.147.63,SA,1060,support,Normal
50,5,90.236.232.239,42.34.116.181,NA,1080,multi-state,Normal
51,5.1,179.196.67.198,84.131.100.119,OC,1100,client-server,Normal
52,5.2,112.228.81.180,186.210.223.183,OC,1120,portal,Normal
53,5.3,53.177.79.73,101.159.152.123,AS,1140,cohesive,Normal
54,5.4,192.146.157.139,229.130.7.38,NA,1160,Ergonomic,Normal
55,5.5,40.170.52.105,162.109.22.198,AS,1180,executive,Normal
56,5.6,27.159.246.208,28.236.0.64,NA,1200,system-worthy,Normal
57,5.7,60.240.60.193,114.184.196.66,NA,1220,system engine,Normal
58,5.8,226.68.36.5,45.28.40.207,NA,1240,software,Normal
59,5.9,112.125.11.52,20.86.66.244,OC,1260,Virtual,Normal
60,6,216.217.216.159,253.71.16.34,NA,1280,forecast,Normal
61,6.1,1.104.65.153,200.25.244.112,EU,1300,hardware,Normal
62,6.2,44.128.167.91,167.89.117.120,OC,1320,initiative,Normal
63,6.3,163.116.95.244,228.254.157.230,AS,1340,Enhanced,Normal
64,6.4,74.114.106.189,124.74.205.183,OC,1360,standardization,Normal
65,6.5,49.62.96.156,58.35.129.79,AF,1380,initiative,Normal
66,6.6,61.219.101.89,145.194.199.223,AS,1400,composite,Normal
67,6.7,132.47.162.72,145.234.123.114,OC,1420,knowledge base,Normal
68,6.8,143.34.97.84,151.100.185.221,SA,1440,open system,Normal
69,6.9,101.177.157.212,43.78.171.4,OC,1460,intranet,Normal
70,7,216.120.210.37,89.14.210.131,AS,1480,utilisation,Normal
71,7.1,168.118.238.84,246.85.134.133,AS,1500,clear-thinking,Normal
72,7.2,86.146.164.9,34.9.16.162,AF,1520,middleware,Normal
73,7.3,188.120.192.231,232.162.92.170,AF,1540,Sharable,Normal
74,7.4,87.23.39.110,224.134.205.124,OC,1560,ability,Normal
75,7.5,36.107.249.112,146.82.181.173,AF,1580,function,Normal
76,7.6,145.247.53.100,10.134.150.130,AS,1600,demand-driven,Normal
77,7.7,55.145.198.233,223.4.96.245,NA,1620,matrices,Normal
78,7.8,137.2.215.64,41.220.96.189,NA,1640,discrete,Normal
79,7.9,202.59.22.20,172.10.109.6,AS,1660,service-desk,Normal
80,8,12.233.176.161,99.27.86.209,AF,1680,Upgradable,Normal
81,8.1,210.198.142.35,28.8.239.103,NA,1700,Enterprise-wide,Normal
82,8.2,143.6.215.26,183.111.25.244,NA,1720,Proactive,Normal
83,8.3,91.146.2.232,210.109.100.139,NA,1740,leading edge,Normal
84,8.4,217.82.101.2,139.198.16.113,NA,1760,superstructure,Normal
85,8.5,29.30.147.199,27.140.110.139,AS,1780,Realigned,Normal
86,8.6,201.131.193.100,25.141.200.209,AS,1800,interactive,Normal
87,8.7,153.212.61.17,53.46.18.212,NA,1820,complexity,Normal
88,8.8,197.232.63.95,240.213.162.159,NA,1840,productivity,Normal
89,8.9,251.117.238.197,227.12.46.216,OC,1860,productivity,Normal
90,9,157.205.167.222,112.42.168.188,AF,1880,hardware,Normal
91,9.1,42.179.174.177,87.121.177.191,OC,1900,Graphical User Interface,Normal
92,9.2,149.168.92.57,227.91.137.199,EU,1920,local,Normal
93,9.3,206.203.158.123,247.225.166.76,AS,1940,Multi-layered,Normal
94,9.4,105.77.121.18,172.135.115.77,AF,1960,Organized,Normal
95,9.5,84.222.68.22,166.208.206.100,AS,1980,Expanded,Normal
96,9.6,74.26.140.233,188.22.20.35,EU,2000,User-centric,Normal
97,9.7,187.101.253.114,90.53.69.137,NA,2020,User-centric,Normal
98,9.8,212.233.104.82,182.141.249.84,NA,2040,Mandatory,Normal
99,9.9,168.100.0.219,153.114.162.104,NA,2060,hierarchy,Normal
100,10,48.5.247.208,98.156.94.17,OC,2080,algorithm,Normal
101,10.1,119.77.87.95,64.194.200.158,NA,2100,extranet,Normal
102,10.2,225.68.114.71,17.3.118.109,NA,2120,regional,Normal
103,10.3,91.194.221.146,168.134.201.12,NA,2140,Seamless,Normal
104,10.4,220.35.223.32,220.239.191.237,SA,2160,Compatible,Normal
105,10.5,159.69.108.155,115.239.103.217,NA,2180,database,Normal
106,10.6,5.211.35.236,47.57.181.114,NA,2200,neural-net,Normal
107,10.7,73.211.39.132,221.92.24.0,NA,2220,real-time,Normal
108,10.8,7.218.226.42,235.254.154.205,NA,2240,knowledge base,Normal
109,10.9,241.0.197.165,235.80.39.114,EU,2260,Object-based,Normal
110,11,146.190.74.83,204.25.167.202,AF,2280,Future-proofed,Normal
111,11.1,211.239.255.224,250.7.158.169,AS,2300,parallelism,Normal
112,11.2,119.62.2.217,243.210.55.89,AF,2320,secured line,Normal
113,11.3,219.251.199.126,212.194.19.190,OC,2340,Customer-focused,Normal
114,11.4,50.200.10.3,162.74.8.185,OC,2360,task-force,Normal
115,11.5,82.217.95.43,114.137.102.158,NA,2380,dynamic,Normal
116,11.6,65.106.72.18,35.146.225.93,EU,2400,Advanced,Normal
117,11.7,175.8.70.145,187.123.216.3,OC,2420,migration,Normal
118,11.8,56.77.24.78,100.7.146.52,OC,2440,secondary,Normal
119,11.9,62.251.79.127,131.228.232.60,AF,2460,challenge,Normal
120,12,239.131.105.201,173.168.154.178,NA,2480,actuating,Normal
121,12.1,191.104.58.141,12.140.9.217,OC,2500,hybrid,Normal
122,12.2,7.108.205.21,39.233.123.43,NA,2520,Total,Normal
123,12.3,250.230.220.176,218.213.29.191,AF,2540,Pre-emptive,Normal
124,12.4,4.212.113.49,181.53.202.251,AS,2560,contextually-based,Normal
125,12.5,246.65.15.75,213.124.249.21,NA,2580,paradigm,Normal
126,12.6,93.240.215.221,64.117.119.43,OC,2600,conglomeration,Normal
127,12.7,210.227.77.130,20.120.169.196,AS,2620,strategy,Normal
128,12.8,132.238.157.101,128.230.128.231,EU,2640,User-centric,Normal
129,12.9,219.86.4.105,197.91.69.251,AS,2660,Reactive,Normal
130,13,242.65.101.231,203.237.94.164,OC,2680,Inverse,Normal
131,13.1,248.190.35.171,186.37.244.123,NA,2700,Extended,Normal
132,13.2,45.246.132.14,30.15.248.175,NA,2720,software,Normal
133,13.3,139.114.20.252,203.41.49.96,AS,2740,Team-oriented,Normal
134,13.4,209.220.26.53,251.133.213.127,NA,2760,application,Normal
